EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID
100;Steven;King;SKING;515.123.4567;17/06/2003;AD_PRES;24000; - ; - ;90
101;Neena;Kochhar;NKOCHHAR;515.123.4568;21/09/2005;AD_VP;17000; - ;100;90
102;Lex;De Haan;LDEHAAN;515.123.4569;13/01/2001;AD_VP;17000; - ;100;90
103;Alexander;Hunold;AHUNOLD;590.423.4567;03/01/2006;IT_PROG;9000; - ;102;60
104;Bruce;Ernst;BERNST;590.423.4568;21/05/2007;IT_PROG;6000; - ;103;60
105;David;Austin;DAUSTIN;590.423.4569;25/06/2005;IT_PROG;4800; - ;103;60
106;Valli;Pataballa;VPATABAL;590.423.4560;05/02/2006;IT_PROG;4800; - ;103;60
107;Diana;Lorentz;DLORENTZ;590.423.5567;07/02/2007;IT_PROG;4200; - ;103;60
108;Nancy;Greenberg;NGREENBE;515.124.4569;17/08/2002;FI_MGR;12008; - ;101;100
109;Daniel;Faviet;DFAVIET;515.124.4169;16/08/2002;FI_ACCOUNT;9000; - ;108;100
110;John;Chen;JCHEN;515.124.4269;28/09/2005;FI_ACCOUNT;8200; - ;108;100
111;Ismael;Sciarra;ISCIARRA;515.124.4369;30/09/2005;FI_ACCOUNT;7700; - ;108;100
112;Jose Manuel;Urman;JMURMAN;515.124.4469;07/03/2006;FI_ACCOUNT;7800; - ;108;100
113;Luis;Popp;LPOPP;515.124.4567;07/12/2007;FI_ACCOUNT;6900; - ;108;100
114;Den;Raphaely;DRAPHEAL;515.127.4561;07/12/2002;PU_MAN;11000; - ;100;30
115;Alexander;Khoo;AKHOO;515.127.4562;18/05/2003;PU_CLERK;3100; - ;114;30
116;Shelli;Baida;SBAIDA;515.127.4563;24/12/2005;PU_CLERK;2900; - ;114;30
117;Sigal;Tobias;STOBIAS;515.127.4564;24/07/2005;PU_CLERK;2800; - ;114;30
118;Guy;Himuro;GHIMURO;515.127.4565;15/11/2006;PU_CLERK;2600; - ;114;30
119;Karen;Colmenares;KCOLMENA;515.127.4566;10/08/2007;PU_CLERK;2500; - ;114;30
120;Matthew;Weiss;MWEISS;650.123.1234;18/07/2004;ST_MAN;8000; - ;100;50
121;Adam;Fripp;AFRIPP;650.123.2234;10/04/2005;ST_MAN;8200; - ;100;50
122;Payam;Kaufling;PKAUFLIN;650.123.3234;01/05/2003;ST_MAN;7900; - ;100;50
123;Shanta;Vollman;SVOLLMAN;650.123.4234;10/10/2005;ST_MAN;6500; - ;100;50
124;Kevin;Mourgos;KMOURGOS;650.123.5234;16/11/2007;ST_MAN;5800; - ;100;50
125;Julia;Nayer;JNAYER;650.124.1214;16/07/2005;ST_CLERK;3200; - ;120;50
126;Irene;Mikkilineni;IMIKKILI;650.124.1224;28/09/2006;ST_CLERK;2700; - ;120;50
127;James;Landry;JLANDRY;650.124.1334;14/01/2007;ST_CLERK;2400; - ;120;50
128;Steven;Markle;SMARKLE;650.124.1434;08/03/2008;ST_CLERK;2200; - ;120;50
129;Laura;Bissot;LBISSOT;650.124.5234;20/08/2005;ST_CLERK;3300; - ;121;50
130;Mozhe;Atkinson;MATKINSO;650.124.6234;30/10/2005;ST_CLERK;2800; - ;121;50
131;James;Marlow;JAMRLOW;650.124.7234;16/02/2005;ST_CLERK;2500; - ;121;50
132;TJ;Olson;TJOLSON;650.124.8234;10/04/2007;ST_CLERK;2100; - ;121;50
133;Jason;Mallin;JMALLIN;650.127.1934;14/06/2004;ST_CLERK;3300; - ;122;50
134;Michael;Rogers;MROGERS;650.127.1834;26/08/2006;ST_CLERK;2900; - ;122;50
135;Ki;Gee;KGEE;650.127.1734;12/12/2007;ST_CLERK;2400; - ;122;50
136;Hazel;Philtanker;HPHILTAN;650.127.1634;06/02/2008;ST_CLERK;2200; - ;122;50
137;Renske;Ladwig;RLADWIG;650.121.1234;14/07/2003;ST_CLERK;3600; - ;123;50
138;Stephen;Stiles;SSTILES;650.121.2034;26/10/2005;ST_CLERK;3200; - ;123;50
139;John;Seo;JSEO;650.121.2019;12/02/2006;ST_CLERK;2700; - ;123;50
140;Joshua;Patel;JPATEL;650.121.1834;06/04/2006;ST_CLERK;2500; - ;123;50
141;Trenna;Rajs;TRAJS;650.121.8009;17/10/2003;ST_CLERK;3500; - ;124;50
142;Curtis;Davies;CDAVIES;650.121.2994;29/01/2005;ST_CLERK;3100; - ;124;50
143;Randall;Matos;RMATOS;650.121.2874;15/03/2006;ST_CLERK;2600; - ;124;50
144;Peter;Vargas;PVARGAS;650.121.2004;09/07/2006;ST_CLERK;2500; - ;124;50
145;John;Russell;JRUSSEL;011.44.1344.429268;01/10/2004;SA_MAN;14000;0.4;100;80
146;Karen;Partners;KPARTNER;011.44.1344.467268;05/01/2005;SA_MAN;13500;0.3;100;80
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;10/03/2005;SA_MAN;12000;0.3;100;80
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;15/10/2007;SA_MAN;11000;0.3;100;80
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;29/01/2008;SA_MAN;10500;0.2;100;80
